Ano/Mês,Nascidos_Vivos,NascVivos_Pesados,NascVivos_<2500g,Óbitos<28d_Diarr,Óbitos<28d_IRA,Óbitos<28d_OutCau,Óbit_28a11m_Diarr,Óbit_28a11m_IRA,Óbit_28a11m_OutCau,Óbitos<1a_Diarr,Óbitos<1a_IRA,Óbitos<1a_OutCau,Óbitos_Fem.10a14a,Óbitos_Fem.15a49a,Óbitos_Adol_violên,Outros_óbitos,Hosp.<5a_Pneumonia,Hosp.<5a_Desitrat,Hosp.Abuso_Álcool,Hosp.Complic.Diab.,Hosp.p/Out.Causas,Hosp.Psiquiátricas,Nº_Visitas,Famílias_Acompanh.,Nº_Gestantes,Nº_Gest._Acompanh,Nº_Gest._<20_anos,Gest.c/PN_no_mês,Gest.c/PN_1ºTrim,Gest.c/Vacina_Dia,Crianças_até_4m,Cr<4m_AleitMatExcl,Cr<4m_Aleit_Misto,Crianças_<1_ano,Cr<1a_c/Vacin.dia,Cr<1a_pesadas,Cr<1a_desnutridas,Cr_12-23meses,Cr_12-23m_Vac.Dia,Cr_12-23m_Pesadas,Cr_12-23m_Desnutr.,Cr<2a_c/diarr,Cr<2a_usaram_TRO,Cr<2a_c/IRA,Diabetes_Cadastr.,Diabetes_Acompan.,Hiperten.Cadastr.,Hiperten.Acompan.,Tubercul.Cadastr.,Tubercul_Acompan.,Hansenia.Cadastr.,Hansenia.Acompan.
..Outubro/2006,113022,110920,10625,213,165,1094,84,98,965,548,266,2320,207,1748,414,29145,8285,6482,3839,8595,223467,5317,27919340,26890352,662711,643153,160171,583999,489166,606211,496779,358239,132212,1498125,1426977,1311643,26496,1607823,1535671,1362340,58426,157241,116165,178844,1937392,1607122,8066315,7312336,22588,20904,32781,31553
..Novembro/2006,108854,106670,10271,127,91,1093,73,115,937,419,215,2312,252,1683,694,29255,7333,5257,3644,8721,219975,5107,28213002,26974098,666175,646592,160627,587881,493847,610639,487911,352175,129740,1496722,1425686,1311775,25976,1608877,1535300,1366027,58491,156417,114859,171059,1748735,1617374,8052621,7348515,22602,20403,33212,31664
..Dezembro/2006,91207,89298,9228,120,83,1002,53,78,862,238,253,2026,188,1434,383,25074,6155,3640,3260,7332,186491,4599,26548824,26993341,657144,636623,158454,576549,488931,603722,467652,339165,123355,1469478,1402262,1279666,24680,1588611,1517880,1341840,55721,139791,101861,153660,1751333,1599127,8094640,7219614,21654,20147,31239,29988
2007,1317294,1292697,126464,1765,1177,13297,751,1249,11905,5190,2824,58934,2954,21146,5100,366282,2051380,77018,43888,99797,2672759,60208,347990095,340888326,7844630,7595402,1868029,6918057,5857139,7214052,5648603,4130727,1455843,17484496,16666389,15321108,273500,18776547,17968557,16017218,590854,1646775,1206562,2252592,22508800,19983060,103538874,90824478,255076,234121,364529,428294
..Janeiro/2007,109366,107246,11519,152,108,1119,87,95,926,462,250,32714,278,1894,429,30406,6223,34598,3967,8065,199751,4859,26696811,27834179,649988,628531,155685,565793,477542,593237,454523,329026,120394,1438904,1362764,1253867,23937,1560539,1482055,1315912,53690,147536,107961,145212,1823367,1568459,8010121,7192400,21066,19258,31337,29748
..Fevereiro/2007,104758,102777,10207,127,74,1172,61,82,1013,228,287,2377,231,1644,374,27978,556294,4603,3738,7615,203322,5148,26927727,28069434,664711,642889,159017,578865,488611,607476,457225,333106,118280,1457917,1377687,1266474,23120,1576319,1492602,1323016,53466,143163,104376,154545,1913328,1606095,8077132,7253391,20670,19317,31315,110466
..Março/2007,116474,114221,11145,147,191,1284,70,106,981,301,300,2374,222,1719,505,28874,10397,4491,3823,8707,235656,5240,28936905,28223234,673624,653138,162228,595840,496018,617860,468934,344125,119686,1469691,1393274,1290540,24661,1579563,1499379,1343963,54259,169715,127093,193425,1806796,1641593,8215591,7441330,20973,19618,31598,30279
..Abril/2007,115593,113423,11076,157,103,1174,71,130,1062,507,237,2534,264,1819,404,29300,11048,3857,3708,8334,234523,5092,29372608,28320390,660870,641467,159019,582556,488547,607646,479126,352756,121214,1467394,1394640,1289430,24651,1574259,1497804,1341687,54195,157762,116914,213193,1796155,1654125,8472123,7491211,21335,19614,31069,29514
..Maio/2007,116317,114141,10659,249,82,1162,59,148,1111,478,239,2471,260,1931,527,31602,11426,3153,3319,7958,236456,5007,28709251,27946915,650213,631108,157368,576135,481077,598559,488994,358716,125061,1516480,1395190,1292076,23984,1571097,1495608,1343459,53402,136878,99608,237111,1816768,1668315,8287812,7555190,21583,19972,31773,30426
..Junho/2007,113645,111568,10244,139,140,1081,72,134,1043,507,307,2471,259,1728,418,32145,10562,2429,3454,8056,226634,4929,28235085,27977315,635245,616226,153103,561561,472181,585800,494308,362312,126968,1460720,1404931,1288872,22909,1569017,1506964,1344560,50071,120206,85688,234837,1864352,1670742,8548722,7553535,21424,19655,30413,28826
..Julho/2007,140188,137652,13187,185,110,1323,56,140,1202,462,309,2867,333,2152,453,41702,665879,3179,4121,10664,293128,6349,38358312,31024813,711592,689410,169724,631711,535030,655923,558054,406792,143552,1634690,1571452,1443971,25481,1749463,1682745,1500377,53302,135664,98237,250126,2240306,1877139,10658517,8673200,23018,21617,32084,30657
..Agosto/2007,107311,105438,9566,127,75,961,61,94,943,696,176,2433,226,1664,378,31621,605605,3145,3499,8897,221234,4864,29474230,29371861,644755,624017,153525,569560,485026,594045,488491,355841,126702,1471701,1417709,1290213,21748,1581990,1523785,1347014,46128,119331,86580,196597,1852951,1686598,9937569,7884891,22102,20010,29636,28486
..Setembro/2007,104135,102165,9790,130,85,930,55,98,901,348,196,2024,234,1793,379,29102,7457,3639,3527,8455,217182,5216,28941313,27940365,643914,623605,151984,569760,484824,593720,467731,341194,121684,1435487,1383091,1263419,21266,1544495,1489367,1321322,44334,128292,93666,182724,1835355,1678531,8422727,7557960,21918,20009,30482,28751
..Outubro/2007,99680,97746,9883,113,62,947,35,86,906,256,153,1988,206,1570,390,28838,6645,3922,3433,7935,212137,4784,28367566,28422330,645821,623896,151762,570824,488189,593777,447361,327616,115446,1408364,1351464,1244036,20820,1519574,1461365,1305012,43658,126840,93251,162316,1826331,1662980,8272742,7496603,20657,19017,28985,27544
..Novembro/2007,98101,96282,10082,115,79,1216,63,64,917,529,167,2535,188,1733,382,27509,5512,6065,3715,7936,207224,4567,28690424,27805767,644339,623588,150909,574338,491350,595855,433974,318278,112061,1387731,1337303,1228642,20977,1500206,1447054,1294181,43075,126448,92948,148829,1828882,1676354,8508433,7603572,20298,18666,28385,27496
..Dezembro/2007,91726,90038,9106,124,68,928,61,72,900,416,203,2146,253,1499,461,27205,154332,3937,3584,7175,185512,4153,25279863,27951723,619558,597527,143705,541114,468744,570154,409882,300965,104795,1335417,1276884,1169568,19946,1450025,1389829,1236715,41274,134940,100240,133677,1904209,1592129,8127385,7121195,20032,17368,27452,26101
2008,1265921,1373645,181971,2208,999,11969,735,1136,11195,7630,2338,28619,2758,20591,5088,358467,191430,238804,40371,97008,2958514,60194,340415252,344644028,7829768,7584569,1805944,6966176,5996404,7246471,5398849,3990684,1354067,16595380,15914761,14712054,225521,17829688,17095457,15369102,441706,1495193,1084072,1994695,23468393,21139428,105838562,94153992,261564,234606,443658,329963
..Janeiro/2008,103062,101288,9856,131,60,997,70,90,925,318,151,2088,239,1650,369,29129,3709,4385,3577,7651,205999,5001,26838232,28299856,643954,622803,148405,565826,486623,593019,421319,309939,107392,1368862,1306670,1204157,19704,1488903,1422906,1272655,42148,156995,117158,133729,1841885,1666565,8772585,7450614,20155,18209,128754,27406
